text,label,category
Kal meeting kitne baje hai?,0,ham
Tu free hai kya abhi call karu?,0,ham
Shaam ko chai pe milte hain.,0,ham
"Office se nikal gaya hu, 20 min me aaunga.",0,ham
Mummy bol rahi hai sabzi lete aana.,0,ham
Online typing job se paisa kamao. Join now: rewardzone.in,1,job_scam
Papa ne poocha tum kab aaoge.,0,ham
Weekend pe movie ka plan banaye?,0,ham
Company hiring remote workers. Apply here: workindia.biz,1,job_scam
Shaam ko chai pe milte hain.,0,ham
Weekend pe movie ka plan banaye?,0,ham
Papa ne poocha tum kab aaoge.,0,ham
Flash sale! Limited time fashion deals: shopnow.sale,1,shopping
Company hiring remote workers. Apply here: rewardzone.in,1,job_scam
Kal meeting kitne baje hai?,0,ham
Instant loan upto 5 lakh bina documents. Apply now: workindia.biz,1,loan
Kal meeting kitne baje hai?,0,ham
Company hiring remote workers. Apply here: quickloan.app,1,job_scam
Buy 1 Get 1 Free sale. Shop now: verify-now.link,1,shopping
Tu ghar pahunch gaya kya?,0,ham
Instant loan upto 5 lakh bina documents. Apply now: shopnow.sale,1,loan
Part time job available. Students welcome. Apply: quickloan.app,1,job_scam
Tu ghar pahunch gaya kya?,0,ham
Tu free hai kya abhi call karu?,0,ham
Kal meeting kitne baje hai?,0,ham
Kal meeting kitne baje hai?,0,ham
Part time job available. Students welcome. Apply: shopnow.sale,1,job_scam
Shaam ko chai pe milte hain.,0,ham
Bitcoin trading se daily profit kamao: deal4u.in,1,crypto
Unusual login detected. Confirm OTP: rewardzone.in,1,otp_scam
Shaam ko chai pe milte hain.,0,ham
Tu ghar pahunch gaya kya?,0,ham
Company hiring remote workers. Apply here: shopnow.sale,1,job_scam
Shaam ko chai pe milte hain.,0,ham
Exclusive 70% discount sirf aaj ke liye: shopnow.sale,1,shopping
Assignment submit kar diya kya?,0,ham
Tu free hai kya abhi call karu?,0,ham
Mummy bol rahi hai sabzi lete aana.,0,ham
Company hiring remote workers. Apply here: earnfast.co,1,job_scam
Papa ne poocha tum kab aaoge.,0,ham
Kal gym chalein subah?,0,ham
Kal meeting kitne baje hai?,0,ham
Your account suspended. Verify OTP immediately: workindia.biz,1,otp_scam
Papa ne poocha tum kab aaoge.,0,ham
Bitcoin trading se daily profit kamao: rewardzone.in,1,crypto
Papa ne poocha tum kab aaoge.,0,ham
Low interest personal loan available. Check eligibility: bit.ly/offer123,1,loan
Flash sale! Limited time fashion deals: deal4u.in,1,shopping
Instant loan upto 5 lakh bina documents. Apply now: workindia.biz,1,loan
Weekend pe movie ka plan banaye?,0,ham
"Work from home job! Earn 10,000 daily. Register: earnfast.co",1,job_scam
"Aaj traffic bahut hai, thoda late ho jaunga.",0,ham
Online typing job se paisa kamao. Join now: earnfast.co,1,job_scam
ATM card blocked. Verify OTP to activate: deal4u.in,1,otp_scam
Buy 1 Get 1 Free sale. Shop now: workindia.biz,1,shopping
Mummy bol rahi hai sabzi lete aana.,0,ham
"Aaj traffic bahut hai, thoda late ho jaunga.",0,ham
Papa ne poocha tum kab aaoge.,0,ham
Buy 1 Get 1 Free sale. Shop now: shopnow.sale,1,shopping
Your account suspended. Verify OTP immediately: rewardzone.in,1,otp_scam
Your account suspended. Verify OTP immediately: quickloan.app,1,otp_scam
Instant loan upto 5 lakh bina documents. Apply now: workindia.biz,1,loan
Your account suspended. Verify OTP immediately: shopnow.sale,1,otp_scam
Low interest personal loan available. Check eligibility: earnfast.co,1,loan
New crypto platform launch bonus. Register: bit.ly/offer123,1,crypto
Kal gym chalein subah?,0,ham
Online typing job se paisa kamao. Join now: verify-now.link,1,job_scam
